"LBDEPPSI.Code.or.Value","LBDEPPSI.Value.Description","LBDEPPSI.Count","LBDEPPSI.Cumulative","LBDEPPSI.Skip.to.Item"
"0.32 to 15.65","Range of Values",7985,7985,NA
".","Missing",847,8832,NA
