"DSQIPHOS.Code.or.Value","DSQIPHOS.Value.Description","DSQIPHOS.Count","DSQIPHOS.Cumulative","DSQIPHOS.Skip.to.Item"
"0.85 to 2000","Range of Values",1390,1390,NA
".","Missing",6895,8285,NA
