"DR1TCALC.Code.or.Value","DR1TCALC.Value.Description","DR1TCALC.Count","DR1TCALC.Cumulative","DR1TCALC.Skip.to.Item"
"0 to 8470","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
