"AUDTYR22.Code.or.Value","AUDTYR22.Value.Description","AUDTYR22.Count","AUDTYR22.Cumulative","AUDTYR22.Skip.to.Item"
"0 to 1.75","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
