"SSL_FLC.Code.or.Value","SSL_FLC.Value.Description","SSL_FLC.Count","SSL_FLC.Cumulative","SSL_FLC.Skip.to.Item"
"0.344 to 141","Range of Values",194,194,NA
".","Missing",1895,2089,NA
