"DXXRLA.Code.or.Value","DXXRLA.Value.Description","DXXRLA.Count","DXXRLA.Cumulative","DXXRLA.Skip.to.Item"
"158.26 to 544.44","Range of Values",5295,5295,NA
".","Missing",738,6033,NA
