"LBXTNALA.Code.or.Value","LBXTNALA.Value.Description","LBXTNALA.Count","LBXTNALA.Cumulative","LBXTNALA.Skip.to.Item"
"1.7 to 834","Range of Values",2286,2286,NA
".","Missing",261,2547,NA
