"WBXP103.Code.or.Value","WBXP103.Value.Description","WBXP103.Count","WBXP103.Cumulative","WBXP103.Skip.to.Item"
"-162.1215 to 176.8134","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
