"DS1TCALC.Code.or.Value","DS1TCALC.Value.Description","DS1TCALC.Count","DS1TCALC.Cumulative","DS1TCALC.Skip.to.Item"
"0.1 to 2900","Range of Values",1384,1384,NA
".","Missing",8160,9544,NA
