"DR1ILZ.Code.or.Value","DR1ILZ.Value.Description","DR1ILZ.Count","DR1ILZ.Cumulative","DR1ILZ.Skip.to.Item"
"0 to 78420","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
