"OSD110j.Code.or.Value","OSD110j.Value.Description","OSD110j.Count","OSD110j.Cumulative","OSD110j.Skip.to.Item"
"22 to 36","Range of Values",2,2,NA
"85","85 or older",0,2,NA
"777","Refused",0,2,NA
"999","Don't know",0,2,NA
".","Missing",4977,4979,NA
