"DR1ITHEO.Code.or.Value","DR1ITHEO.Value.Description","DR1ITHEO.Count","DR1ITHEO.Cumulative","DR1ITHEO.Skip.to.Item"
"0 to 1653","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
