"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"617.86932978 to 341097.23732","Range of Values",143004,143004,NA
".","Missing",0,143004,NA
