"OHASCST4.Code.or.Value","OHASCST4.Value.Description","OHASCST4.Count","OHASCST4.Cumulative","OHASCST4.Skip.to.Item"
"1","Complete",5587,5587,NA
"2","Partial",45,5632,NA
"3","Not done",1498,7130,NA
".","Missing",0,7130,NA
