"SMQ690A.Code.or.Value","SMQ690A.Value.Description","SMQ690A.Count","SMQ690A.Cumulative","SMQ690A.Skip.to.Item"
"1","Cigarettes",1065,1065,NA
"77","Refused",1,1066,NA
"99","Don't know",0,1066,NA
".","Missing",5483,6549,NA
