"URDMEPLC.Code.or.Value","URDMEPLC.Value.Description","URDMEPLC.Count","URDMEPLC.Cumulative","URDMEPLC.Skip.to.Item"
"0","At or above the detection limit",2749,2749,NA
"1","Below lower detection limit",13,2762,NA
".","Missing",224,2986,NA
