"BIDRECF.Code.or.Value","BIDRECF.Value.Description","BIDRECF.Count","BIDRECF.Cumulative","BIDRECF.Skip.to.Item"
"375.6 to 1410.9","Range of Values",4606,4606,NA
".","Missing",1343,5949,NA
