"PFQ061Q.Code.or.Value","PFQ061Q.Value.Description","PFQ061Q.Count","PFQ061Q.Cumulative","PFQ061Q.Skip.to.Item"
"1","No difficulty",2131,2131,NA
"2","Some difficulty",418,2549,NA
"3","Much difficulty",128,2677,NA
"4","Unable to do",80,2757,NA
"5","Do not do this activity",115,2872,NA
"7","Refused",0,2872,NA
"9","Don't know",0,2872,NA
".","Missing",6144,9016,NA
