"RHQ568U.Code.or.Value","RHQ568U.Value.Description","RHQ568U.Count","RHQ568U.Cumulative","RHQ568U.Skip.to.Item"
"1","Months",41,41,NA
"2","Years",89,130,NA
"7","Refused",0,130,NA
"9","Don't know",0,130,NA
".","Missing",3735,3865,NA
