"SPQ060.Code.or.Value","SPQ060.Value.Description","SPQ060.Count","SPQ060.Cumulative","SPQ060.Skip.to.Item"
"1","Yes",23,23,"SPAENA"
"2","No",6848,6871,""
"7","Refused",0,6871,"SPAENA"
"9","Don't know",5,6876,"SPAENA"
".","Missing",867,7743,""
