"DR2_330Z.Code.or.Value","DR2_330Z.Value.Description","DR2_330Z.Count","DR2_330Z.Cumulative","DR2_330Z.Skip.to.Item"
"0 to 11520","Range of Values",7574,7574,NA
".","Missing",2239,9813,NA
