"SSQ031.Code.or.Value","SSQ031.Value.Description","SSQ031.Count","SSQ031.Cumulative","SSQ031.Skip.to.Item"
"1","Yes",595,595,""
"2","No",2442,3037,"SSQ051"
"7","Refused",0,3037,"SSQ051"
"9","Don't know",10,3047,"SSQ051"
".","Missing",252,3299,""
