"OSQ080.Code.or.Value","OSQ080.Value.Description","OSQ080.Count","OSQ080.Cumulative","OSQ080.Skip.to.Item"
"1","Yes",922,922,""
"2","No",2890,3812,"OSQ060"
"7","Refused",0,3812,"OSQ060"
"9","Don't know",3,3815,"OSQ060"
".","Missing",0,3815,""
