"DR2TPFAT.Code.or.Value","DR2TPFAT.Value.Description","DR2TPFAT.Count","DR2TPFAT.Cumulative","DR2TPFAT.Skip.to.Item"
"0 to 108.069","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
