"BMXWAIST.Code.or.Value","BMXWAIST.Value.Description","BMXWAIST.Count","BMXWAIST.Cumulative","BMXWAIST.Skip.to.Item"
"32 to 170.7","Range of Values",8397,8397,NA
".","Missing",1246,9643,NA
