"URDMCHLC.Code.or.Value","URDMCHLC.Value.Description","URDMCHLC.Count","URDMCHLC.Cumulative","URDMCHLC.Skip.to.Item"
"0","At or above the detection limit",605,605,NA
"1","Below lower detection limit",1884,2489,NA
".","Missing",105,2594,NA
