"SXD031.Code.or.Value","SXD031.Value.Description","SXD031.Count","SXD031.Cumulative","SXD031.Skip.to.Item"
"10 to 60","Range of Values",4201,4201,NA
"9","9 years or younger",71,4272,NA
"77","Refused",17,4289,NA
"99","Don't know",4,4293,NA
".","Missing",764,5057,NA
