"OHD30LAM.Code.or.Value","OHD30LAM.Value.Description","OHD30LAM.Count","OHD30LAM.Cumulative","OHD30LAM.Skip.to.Item"
"0 to 7","Range of Values",1982,1982,NA
"99","Calculation cannot be determined",577,2559,NA
".","Missing",4159,6718,NA
