"SMD415.Code.or.Value","SMD415.Value.Description","SMD415.Count","SMD415.Cumulative","SMD415.Skip.to.Item"
"1 to 2","Range of Values",1621,1621,NA
"3","3 or more",138,1759,NA
".","Missing",8589,10348,NA
