"LBXSATSI.Code.or.Value","LBXSATSI.Value.Description","LBXSATSI.Count","LBXSATSI.Cumulative","LBXSATSI.Skip.to.Item"
"5 to 1997","Range of Values",6489,6489,NA
".","Missing",501,6990,NA
