"WTSBA09.Code.or.Value","WTSBA09.Value.Description","WTSBA09.Count","WTSBA09.Cumulative","WTSBA09.Skip.to.Item"
"0 to 355008.51327","Range of Values",946,946,NA
".","Missing",65,1011,NA
