"DXXWDBMD.Code.or.Value","DXXWDBMD.Value.Description","DXXWDBMD.Count","DXXWDBMD.Cumulative","DXXWDBMD.Skip.to.Item"
"0.162 to 1.402","Range of Values",3126,3126,NA
".","Missing",582,3708,NA
