"DR2IP184.Code.or.Value","DR2IP184.Value.Description","DR2IP184.Count","DR2IP184.Cumulative","DR2IP184.Skip.to.Item"
"0 to 0.471","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
