"LBXSCR.Code.or.Value","LBXSCR.Value.Description","LBXSCR.Count","LBXSCR.Cumulative","LBXSCR.Skip.to.Item"
"0.3 to 13.7","Range of Values",6492,6492,NA
".","Missing",498,6990,NA
