"HCQ160.Code.or.Value","HCQ160.Value.Description","HCQ160.Count","HCQ160.Cumulative","HCQ160.Skip.to.Item"
"1","True",23,23,NA
"2","False",3,26,NA
"7","Refused",0,26,NA
"9","Don't know",6,32,NA
".","Missing",84,116,NA
