"DXDSTLI.Code.or.Value","DXDSTLI.Value.Description","DXDSTLI.Count","DXDSTLI.Cumulative","DXDSTLI.Skip.to.Item"
"12302.9 to 100827.1","Range of Values",3563,3563,NA
".","Missing",1551,5114,NA
