"RFXT089.Code.or.Value","RFXT089.Value.Description","RFXT089.Count","RFXT089.Cumulative","RFXT089.Skip.to.Item"
"769 to 778","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
