"DXDLLLE.Code.or.Value","DXDLLLE.Value.Description","DXDLLLE.Count","DXDLLLE.Cumulative","DXDLLLE.Skip.to.Item"
"2036.7 to 23667.6","Range of Values",4004,4004,NA
".","Missing",1110,5114,NA
