"DR2TSUGR.Code.or.Value","DR2TSUGR.Value.Description","DR2TSUGR.Count","DR2TSUGR.Cumulative","DR2TSUGR.Skip.to.Item"
"0 to 885.28","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
