"CIQP44A.Code.or.Value","CIQP44A.Value.Description","CIQP44A.Count","CIQP44A.Cumulative","CIQP44A.Skip.to.Item"
"1","Strong Fear: giving speech",2,2,NA
"77","Refused",0,2,NA
"99","Don't know",0,2,NA
".","Missing",776,778,NA
