"DR2TS160.Code.or.Value","DR2TS160.Value.Description","DR2TS160.Count","DR2TS160.Cumulative","DR2TS160.Skip.to.Item"
"0 to 81.702","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
