"LBXB12.Code.or.Value","LBXB12.Value.Description","LBXB12.Count","LBXB12.Cumulative","LBXB12.Skip.to.Item"
"37 to 240599","Range of Values",8390,8390,NA
".","Missing",1539,9929,NA
