"LBXVTP.Code.or.Value","LBXVTP.Value.Description","LBXVTP.Count","LBXVTP.Cumulative","LBXVTP.Skip.to.Item"
"0.028 to 0.028","Range of Values",2963,2963,NA
".","Missing",303,3266,NA
