"LBDBCDSI.Code.or.Value","LBDBCDSI.Value.Description","LBDBCDSI.Count","LBDBCDSI.Cumulative","LBDBCDSI.Skip.to.Item"
"1.69 to 96.09","Range of Values",4715,4715,NA
"1.25","Below Detection Limit Fill Value",3692,8407,NA
".","Missing",1033,9440,NA
