"LB2PLTSI.Code.or.Value","LB2PLTSI.Value.Description","LB2PLTSI.Count","LB2PLTSI.Cumulative","LB2PLTSI.Skip.to.Item"
"51 to 551","Range of Values",551,551,NA
".","Missing",6,557,NA
