"PAD120.Code.or.Value","PAD120.Value.Description","PAD120.Count","PAD120.Cumulative","PAD120.Skip.to.Item"
"1 to 300","Range of Values",3486,3486,NA
"77777","Refused",0,3486,NA
"99999","Don't know",3,3489,NA
".","Missing",6605,10094,NA
