"OPDSCHRA.Code.or.Value","OPDSCHRA.Value.Description","OPDSCHRA.Count","OPDSCHRA.Cumulative","OPDSCHRA.Skip.to.Item"
"0","No",2443,2443,NA
"1","Questionable",1,2444,NA
"2","Yes",4,2448,NA
"3","Yes, in center",0,2448,NA
".","Missing",486,2934,NA
