"DR2ICALC.Code.or.Value","DR2ICALC.Value.Description","DR2ICALC.Count","DR2ICALC.Cumulative","DR2ICALC.Skip.to.Item"
"0 to 3633","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
