"URDMZPLC.Code.or.Value","URDMZPLC.Value.Description","URDMZPLC.Count","URDMZPLC.Cumulative","URDMZPLC.Skip.to.Item"
"0","At or above the detection limit",2443,2443,NA
"1","Below lower detection limit",46,2489,NA
".","Missing",105,2594,NA
