"OCQ360.Code.or.Value","OCQ360.Value.Description","OCQ360.Count","OCQ360.Cumulative","OCQ360.Skip.to.Item"
"1 to 24","Range of Values",475,475,NA
"7777","Refused",0,475,NA
"9999","Don't know",2,477,NA
".","Missing",6818,7295,NA
