"DR1IVB2.Code.or.Value","DR1IVB2.Value.Description","DR1IVB2.Count","DR1IVB2.Cumulative","DR1IVB2.Skip.to.Item"
"0 to 21.553","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
