"URXP01.Code.or.Value","URXP01.Value.Description","URXP01.Count","URXP01.Cumulative","URXP01.Skip.to.Item"
"31.6 to 6150664.6","Range of Values",2496,2496,NA
".","Missing",222,2718,NA
