"DXDLLTOT.Code.or.Value","DXDLLTOT.Value.Description","DXDLLTOT.Count","DXDLLTOT.Cumulative","DXDLLTOT.Skip.to.Item"
"2745.8 to 31334.9","Range of Values",4836,4836,NA
".","Missing",944,5780,NA
