"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"3.54 to 705","Range of Values",8280,8280,NA
".","Missing",328,8608,NA
