"LBXVHE.Code.or.Value","LBXVHE.Value.Description","LBXVHE.Count","LBXVHE.Cumulative","LBXVHE.Skip.to.Item"
"0.0078 to 0.0078","Range of Values",2788,2788,NA
".","Missing",506,3294,NA
