"DXDTOPF.Code.or.Value","DXDTOPF.Value.Description","DXDTOPF.Count","DXDTOPF.Cumulative","DXDTOPF.Skip.to.Item"
"12.1 to 55.4","Range of Values",4521,4521,NA
".","Missing",1171,5692,NA
