"AUXR2KR.Code.or.Value","AUXR2KR.Value.Description","AUXR2KR.Count","AUXR2KR.Cumulative","AUXR2KR.Skip.to.Item"
"55 to 105","Range of Values",7,7,NA
"666","No response",0,7,NA
"888","Could not obtain",0,7,NA
".","Missing",2039,2046,NA
