"HSQ510.Code.or.Value","HSQ510.Value.Description","HSQ510.Count","HSQ510.Cumulative","HSQ510.Skip.to.Item"
"1","Yes",792,792,NA
"2","No",7498,8290,NA
"7","Refused",2,8292,NA
"9","Don't know",9,8301,NA
".","Missing",531,8832,NA
