"WTSHM44.Code.or.Value","WTSHM44.Value.Description","WTSHM44.Count","WTSHM44.Cumulative","WTSHM44.Skip.to.Item"
"0.0000000 to 767886.0260800","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
