"OSQ020b.Code.or.Value","OSQ020b.Value.Description","OSQ020b.Count","OSQ020b.Cumulative","OSQ020b.Skip.to.Item"
"1","1",267,267,""
"2","2",35,302,""
"3","3",9,311,""
"4","4",3,314,""
"6","6",1,315,""
"10","10",1,316,""
"7777","Refused",0,316,"OSQ010c"
"9999","Don't know",0,316,"OSQ010c"
".","Missing",3499,3815,""
