"LBXTSS.Code.or.Value","LBXTSS.Value.Description","LBXTSS.Count","LBXTSS.Cumulative","LBXTSS.Skip.to.Item"
"1","Positive",71,71,NA
"2","Negative",299,370,NA
".","Missing",8809,9179,NA
