"AUXR1K1L.Code.or.Value","AUXR1K1L.Value.Description","AUXR1K1L.Count","AUXR1K1L.Cumulative","AUXR1K1L.Skip.to.Item"
"30 to 80","Range of Values",14,14,NA
"666","No response",1,15,NA
"888","Could not obtain",0,15,NA
".","Missing",1792,1807,NA
