"VTQ281A.Code.or.Value","VTQ281A.Value.Description","VTQ281A.Count","VTQ281A.Cumulative","VTQ281A.Skip.to.Item"
"1","Yes",77,77,""
"2","No",2845,2922,"VTQ281C"
"7","Refused",0,2922,"VTQ281C"
"9","Don't know",1,2923,"VTQ281C"
".","Missing",471,3394,""
