"DBD060.Code.or.Value","DBD060.Value.Description","DBD060.Count","DBD060.Cumulative","DBD060.Skip.to.Item"
"1 to 1825","Range of Values",1422,1422,""
"0","Never on a daily basis",445,1867,"DBD080"
"777777","Refused",0,1867,""
"999999","Don't know",7,1874,""
".","Missing",8248,10122,""
